Shift,Age,Combination of Primary and Highlight Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
PM,Adult,Gray+,Above Ground,,not running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
AM,Juvenile,Gray+Cinnamon,Ground Plane,,not running,not chasing,not climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
PM,Adult,Gray+,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
AM,Adult,Gray+Cinnamon,Ground Plane,,running,not chasing,not climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
PM,Adult,Black+,Ground Plane,,not running,not chasing,not climbing,eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,approaching human,not indifferent to human presence,not running from human
PM,Juvenile,Gray+Cinnamon,Above Ground,,running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,twitching tail,not approaching human,indifferent to human presence,not running from human
AM,Adult,Gray+Cinnamon,Above Ground,,not running,chasing,not climbing,eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
AM,Adult,Gray+White,Above Ground,,running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
PM,Adult,Gray+,Above Ground,tree,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
AM,Adult,Gray+,Above Ground,,not running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
AM,Adult,Gray+,Above Ground,,not running,not chasing,climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
PM,,Gray+Cinnamon,Ground Plane,,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,running from humans
AM,Adult,Black+,Above Ground,Branch,not running,not chasing,not climbing,not eating,foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,indifferent to human presence,not running from human
PM,Adult,Gray+White,Ground Plane,,running,not chasing,not climbing,not eating,not foraging,not kukking,not quaaing,not moaning,not flagging tail,not twitching tail,not approaching human,not indifferent to human presence,not running from human
